シンボル,詳細,テクニカルの評価 1日,移動平均線の評価 1日,オシレーターの評価 1日,RSI (相対力指数) (14) 1日,MOM (モメンタム) (10) 1日,AO (オーサム・オシレーター) 1日,CCI (商品チャネル指数) (20) 1日,"STOCH (ストキャスティクス) (14,3,3) 1日, %K","STOCH (ストキャスティクス) (14,3,3) 1日, %D",ローソク足パターン 1日
CVNA,Carvana Co. Class A,売り,強い売り,売り,41.06264803323794,-85.97500000000002,-40.49840176470548,-75.01773031095023,33.10520347073872,29.64309263837573,
GLW,Corning Inc,買い,強い買い,売り,75.4910668012771,18.36,22.2519544117647,166.95313196688198,95.2971948810806,90.87555156011479,
NUE,Nucor Corporation,買い,強い買い,買い,68.15827648222965,18.409999999999997,15.899012647058953,131.09813491034987,97.3834896823301,94.30156537447044,
CACI,CACI International Inc Class A,買い,強い買い,売り,54.96438724449883,-17.410000000000082,17.898194117646653,-9.132309383651362,38.94611297842349,28.446998445914215,
ETR,Entergy Corporation,買い,強い買い,中立,67.77138651920673,3.1299999999999955,3.1825276470589188,191.3668020065263,92.19626347947063,85.68768598055478,
PCOR,Procore Technologies Inc,売り,強い売り,買い,28.057022782935647,-10.699999999999996,-14.565305882352959,-87.68503894627267,11.119168510137571,10.687311226668953,
ABT,Abbott Laboratories,売り,売り,買い,42.873473017724876,4.010000000000005,-8.184075000000064,-11.301053886313582,48.75587538398704,33.516433378400684,
FSLR,"First Solar, Inc.",売り,強い売り,中立,42.25986459891534,-8.810000000000002,-18.457728529411867,-108.82782531675996,22.394718058529605,31.746803388471204,
CRTO,Criteo SA Sponsored ADR Repr 1 Sh,売り,強い売り,中立,48.41622813496788,-0.6000000000000014,-0.9935214705880995,-45.24864729385114,45.43454345434549,39.48562619419843,包み線 (強気)
DLB,"Dolby Laboratories, Inc. Class A",買い,強い買い,買い,64.50996521039832,6.829999999999998,1.0608820588234948,243.39266283405945,94.50880444856345,87.64157477620938,
AMBA,"Ambarella, Inc.",中立,売り,買い,49.00986800807984,-0.0899999999999892,-5.719697058823563,39.651921719406175,50.46801872074883,34.365335557279096,
NRDS,"NerdWallet, Inc. Class A",売り,強い売り,買い,26.836964022072365,-2.040000000000001,-2.1817579411764854,-143.03392162212361,7.317936905092842,6.262924833088067,上影線
ABCB,Ameris Bancorp,買い,強い買い,売り,63.718752931476125,4.550000000000011,5.840452941176537,134.3346133465167,89.7055090967984,91.65067835885536,包み線 (弱気)
FBP,First Bancorp,買い,強い買い,中立,61.32641367809198,0.8599999999999994,1.4294117647059004,94.94605337876473,87.84781374219193,88.06273472916355,包み線 (弱気)
SEIC,SEI Investments Company,強い売り,強い売り,売り,41.59374302628684,-2.3400000000000034,-0.8227911764705595,-172.2511488821847,18.849862957976907,21.154981555658225,
WCC,"WESCO International, Inc.",中立,買い,売り,49.89104219662149,-2.009999999999991,24.153805882353197,-57.56328123848247,60.669054190446786,67.56689004358405,
AD,"Array Digital Infrastructure, Inc.",売り,強い売り,中立,44.287680419494265,2.049999999999997,-3.2997220588235336,-37.675303887861695,19.694416357712623,19.30494700969926,陽のコマ
JEF,Jefferies Financial Group Inc.,中立,中立,中立,47.49180121074767,-2.1399999999999935,-3.2725147058823296,-49.377506563950426,46.87898089171973,33.71251212276394,陽のコマ
CTRA,Coterra Energy Inc.,買い,強い買い,売り,72.77566004095063,3.039999999999999,3.342892647058811,118.85744581419327,91.91800071809728,93.28891280665728,下影線
ECVT,Ecovyst Inc,買い,強い買い,中立,64.520715314771,0.33000000000000007,0.5199076470587958,127.21918539377293,89.22764227642277,81.97831978319785,陰のコマ
ATEN,"A10 Networks, Inc.",買い,強い買い,中立,74.9577691146508,2.780000000000001,1.5487117647058746,235.8769733564198,92.88066102463252,85.13277942310991,
XYZ,"Block, Inc. Class A",売り,強い売り,中立,38.32356218107171,-7.290000000000006,-7.876431470588187,-79.8514483545969,23.084025854108933,16.473053071955015,上影線
NI,NiSource Inc,強い買い,強い買い,買い,65.96401048193357,0.3399999999999963,1.1758970588235442,128.27022999085665,73.7045657591574,63.13028008965379,陽のコマ
LRN,"Stride, Inc.",買い,買い,買い,79.81270410884599,15.679999999999993,13.628666176470588,88.08491389500914,80.16398849364046,78.31285557600673,
8331,千葉銀行,買い,強い買い,売り,76.56032891491964,335.5,341.0102941176526,171.8590461959888,93.48743688765724,94.60527951294482,
3697,ＳＨＩＦＴ,売り,強い売り,中立,32.11145166294179,-156.29999999999995,-190.28000000000134,-95.08102331890635,10.914320314865293,7.715335914094159,
6479,ミネベア,買い,強い買い,売り,60.526036105552244,208,148.22352941176496,167.1252461492834,79.86056758120714,78.17991135555523,
2809,キユーピー,買い,強い買い,売り,64.39093197510347,205,198.24411764705837,157.77935774381058,90.25751858363621,93.36253754263309,
5020,ＥＮＥＯＳホールディングス,強い買い,強い買い,買い,79.44815308359739,216.5,177.0382352941192,186.08922794338162,96.82462815634729,93.09066715098903,
5831,しずおかフィナンシャルグループ,強い買い,強い買い,買い,78.08385036422834,440.5,225.9750000000031,213.89528993977507,97.8517268674749,98.22657277821388,
FOUR,"Shift4 Payments, Inc. Class A",売り,強い売り,中立,44.54244404488178,-1.6499999999999986,-4.388378823529315,-33.85959148413033,46.14216459318965,42.88184103451075,
VIK,Viking Holdings Ltd,強い買い,強い買い,買い,63.553327412410326,8.580000000000013,2.865736764705815,158.59422282394036,95.9704035670349,84.26375029090705,陰のコマ
GILD,"Gilead Sciences, Inc.",買い,強い買い,中立,68.11367067022115,6.259999999999991,18.046912647058946,91.26210818013432,89.58168828231116,94.44466921679629,
VTEX,VTEX Class A,売り,売り,買い,43.2995080994104,-0.1200000000000001,-0.3176867647058863,-5.364201016374964,50.370370370370345,35.19640852974183,上影線
SPXC,"SPX Technologies, Inc.",強い買い,強い買い,買い,68.65202217773236,15.519999999999982,9.244416764706045,229.65340575907967,85.96701380507496,73.0709312444193,
RDW,Redwire Corp,売り,強い売り,中立,45.665803593284046,-4.8199999999999985,-0.4923576470588227,-105.7675816313084,20.11164031028773,16.36170827993285,
ORA,"Ormat Technologies, Inc.",買い,強い買い,中立,55.0803879553499,-2.180000000000007,4.6932729411763745,9.176158610039401,36.89696884912697,40.49564881708202,
MIDD,Middleby Corporation,買い,強い買い,買い,67.92250494591468,14.539999999999992,6.994315000000029,159.5891818646761,93.0765427280562,92.20665562121224,流れ星
UPWK,"Upwork, Inc.",強い売り,強い売り,売り,30.871060720881104,-6.095000000000001,-2.458374705882356,-222.6088640220364,26.732950091611713,27.412403139175705,上影線
AZZ,AZZ Inc.,強い買い,強い買い,買い,78.18256907791223,12.52000000000001,10.304051470588234,208.0960748330894,94.96176711344606,85.08304123114227,
AVY,Avery Dennison Corporation,買い,強い買い,買い,59.13900533519309,3.7299999999999898,5.56983970588243,84.95063438661514,60.505769216337605,68.70860512963715,
SGI,Somnigroup International Inc.,買い,強い買い,買い,64.85308613154437,7.269999999999996,3.611862647059013,153.42858975886367,96.74655815180574,91.12779920969622,
5802,住友電気工業,強い買い,強い買い,買い,74.17268527186982,2049,1157.0088235294088,224.9389311234376,81.93319206164483,71.91217087452868,同時線
PSN,Parsons Corporation,中立,中立,中立,52.6965272698021,-1.2000000000000028,0.960935294117732,-25.836042889382508,34.57446808510639,25.082547432458668,
MANH,"Manhattan Associates, Inc.",売り,強い売り,中立,39.95206036253749,-20.099999999999994,-22.288687058823513,-45.97714900610083,38.213574776857364,31.234659032305064,上影線
UNM,Unum Group,売り,強い売り,中立,27.89904218891897,-4.1200000000000045,-2.841317058823506,-246.30667652654728,32.17568305688838,34.93590839829928,同時線
CBRE,"CBRE Group, Inc. Class A",強い買い,強い買い,中立,56.234287708192454,0.9400000000000261,1.1962191176469616,92.83698312260265,74.31075821931937,63.149261003045126,
TDY,Teledyne Technologies Incorporated,強い買い,強い買い,中立,74.78996065463139,43.89999999999998,65.30466529411763,141.44668473211104,96.41313739405034,91.17067904321463,陽のコマ
GPOR,Gulfport Energy Corp,買い,強い買い,買い,55.42839516431758,11.030000000000001,11.229397647058477,81.89624142714348,72.03506477420159,84.36657332325261,
6869,シスメックス,買い,買い,買い,52.95311058469473,52,-43.24264705883206,15.563909774439033,57.357877077704664,46.32379940090669,
XYL,Xylem Inc.,強い売り,強い売り,売り,34.301797926838944,-11.490000000000009,-1.3949470588233908,-331.3116941357009,57.559306928240595,61.0205168596433,
GEV,GE Vernova Inc.,買い,強い買い,中立,67.34868028347034,98.08999999999992,81.0769052941173,132.7914077524275,89.06821561370009,81.01183954812632,
6981,村田製作所,強い買い,強い買い,買い,54.0886853836042,91,20.486764705869064,27.99000023364127,75.86099097750632,74.0352851749605,はらみ線 (強気)
TEL,TE Connectivity plc,中立,中立,売り,49.444557095243695,-5,-9.98241441176404,-7.64722647159179,48.421491608576225,30.406699074203384,上影線
MDLZ,"Mondelez International, Inc. Class A",買い,強い買い,中立,68.4513905365717,1.6299999999999955,3.51571617647064,149.7618800494358,86.86317460837704,85.57198353670053,
8035,東京エレクトロン,買い,強い買い,中立,56.74691502921981,-630,1865.6764705883397,-0.6302137751458768,30.474333983105907,23.91228200390384,陰のコマ
DELL,"Dell Technologies, Inc. Class C",買い,買い,買い,56.77472871538325,11.350000000000009,-0.48078441176464537,194.4293759027847,87.8362993543066,76.04869174564548,
EW,Edwards Lifesciences Corporation,売り,強い売り,買い,30.779007078768103,-6.549999999999997,-5.016441176470835,-166.4774295625469,8.107057671269027,8.129142652546816,
QCRH,"QCR Holdings, Inc.",買い,強い買い,中立,60.756786888748316,4.290000000000006,6.23752941176474,77.57906508046234,82.9908678859141,87.0198607375117,
PROP,Prairie Operating Co.,強い売り,強い売り,売り,45.51862526840037,-0.15999999999999992,-0.04745000000000177,-96.4284578443529,34.43821973233741,28.835811505008234,
BOW,Bowhead Specialty Holdings Inc.,中立,売り,買い,46.9915664767964,0.5800000000000018,-0.8508135294117274,3.5290096097162977,39.62712818348103,48.428187975861015,
CR,Crane Company,買い,強い買い,買い,54.558205112711185,12.860000000000014,-0.8714441176466039,14.826656073789243,59.34404114497702,50.460211064738644,
WAB,Westinghouse Air Brake Technologies Corporation,買い,強い買い,中立,71.96861850435548,14.72999999999999,15.312713235294297,155.32233019537617,89.66535151882334,87.76917164711512,
SPFI,South Plains Financial Inc,強い買い,強い買い,買い,62.94443283024649,2.470000000000006,2.4798941176469427,79.91055220161002,77.25118483412325,77.04405616907115,陰のコマ
YEXT,"Yext, Inc.",売り,強い売り,中立,31.075326273305905,-1.8899999999999997,-2.240666176470591,-70.30799333425355,14.503816793893137,7.678241158773877,
TOWN,TowneBank,買い,強い買い,中立,56.020759330663765,0.3500000000000014,2.021075294117658,62.11993379338556,78.50745655900076,83.70041578012751,
CSWC,Capital Southwest Corporation,買い,強い買い,中立,58.125318988302645,-0.00999999999999801,0.3277044117646817,48.26654007434931,54.032258064516135,47.078401252974324,陽のコマ
NTGR,"NETGEAR, Inc.",売り,強い売り,中立,34.94461124722049,-1.1500000000000021,-1.9970514705881683,-67.20100341746881,48.348348348348345,37.427457274901975,
PFLT,PennantPark Floating Rate Capital Ltd.,強い売り,強い売り,売り,39.71121346899212,-0.41999999999999993,-0.01337970588228643,-224.9341440849753,46.89133672994989,51.59217380718271,
SGHT,"Sight Sciences, Inc.",売り,強い売り,中立,34.794129712969934,-0.25,-1.0427867647058813,-101.34020273602783,28.935185185185208,22.509532459838297,
JJSF,J & J Snack Foods Corp.,売り,強い売り,中立,34.91087163008865,-11.58999999999999,-8.08463382352845,-125.91602991911067,12.378006980225237,16.014462159298493,
BAP,Credicorp Ltd.,買い,買い,売り,58.1064035324314,-7.609999999999957,34.829888441176536,27.188028470655727,48.72029388482284,57.24039998968838,包み線 (弱気)
TGLS,Tecnoglass Inc.,買い,買い,買い,59.34618875264072,3.4499999999999957,0.24017794117651903,100.83475220418659,74.97275089561893,65.18581437246972,
PVH,PVH Corp.,買い,買い,買い,58.7439311121181,6.180000000000007,0.10279558823515345,161.81581459427238,91.99412756555618,83.26260326638302,
AUB,Atlantic Union Bankshares Corporation,買い,強い買い,中立,66.82068632633795,1.9299999999999997,3.3481779411764805,111.26220447299228,86.0944816228526,87.30538442993755,陰のコマ
AMRC,"Ameresco, Inc. Class A",買い,強い買い,中立,54.58727688333103,-0.2700000000000031,-0.49330411764705673,73.36078496169138,74.0932642487047,50.02467718564029,
CDP,COPT Defense Properties,買い,強い買い,中立,68.53096365587821,2.0000000000000036,2.152991176470664,164.23230329590788,85.62300319488821,86.75209774251312,
TOST,"Toast, Inc. Class A",売り,強い売り,中立,38.918547607964335,-3.009999999999998,-5.439832352941135,-69.85273194475036,22.37563006793775,14.094555261339545,
NPWR,NET Power Inc. Class A,強い売り,強い売り,売り,34.08114483027103,-0.3400000000000003,-0.3136602941176232,-125.63945766099933,21.71717171717172,18.795547373146004,
VMI,"Valmont Industries, Inc.",買い,強い買い,売り,74.93886148525743,27.430000000000007,32.537170308823704,159.2723051580577,88.34178002704192,84.75175286950179,同時線
DXPE,"DXP Enterprises, Inc.",買い,強い買い,売り,76.62360589770728,21.47999999999999,22.616886764705896,157.8311218943015,90.71952398341034,92.6045525422237,包み線 (弱気)
RWT,"Redwood Trust, Inc.",売り,売り,中立,49.60455136108207,-0.2999999999999998,-0.07464705882353506,-60.084228911080416,33.893557422969224,34.09244456590226,
AMTB,Amerant Bancorp Inc. Class A,買い,強い買い,売り,68.04162300398625,2.1999999999999993,2.0262341176471104,112.81075971113178,87.72690495765308,89.38056877489147,同時線
CNXC,Concentrix Corporation,売り,強い売り,中立,48.221726125676085,-2.3399999999999963,-2.3234852941176882,-32.428659131351594,42.560266001662505,37.08783596564145,
PAL,"Proficient Auto Logistics, Inc.",強い売り,強い売り,売り,29.996611081254315,-2.24,-0.03005588235293466,-403.4731939750139,44.92835029053408,53.413391457094654,
HCC,"Warrior Met Coal, Inc.",中立,中立,中立,48.09863114968571,-2.069999999999993,-3.5027205882353627,-42.9000460918468,37.167199148029816,27.8424181099705,
AKR,Acadia Realty Trust,強い買い,強い買い,中立,65.72478572189662,1.7300000000000004,0.3196323529411984,108.59259501715367,91.00173801631126,88.8579972594418,
OIS,"Oil States International, Inc.",買い,強い買い,中立,65.27798694628153,0.35999999999999943,0.9423782352941084,127.06874343792846,87.03567560730744,83.17231301911268,
MEG,Montrose Environmental Group Inc,買い,買い,中立,55.83550222718677,1.6500000000000021,-0.04285294117648064,133.15359477124147,90.34856585063004,90.58587445848445,
ADC,Agree Realty Corporation,強い買い,強い買い,買い,65.45023807964984,3.730000000000004,2.689213235293863,192.29457361657077,79.77591036414567,80.29055817848375,
MSGE,Madison Square Garden Entertainment Corp.,買い,強い買い,売り,57.99816935509694,-0.3299999999999983,2.443455588235331,50.369440764214275,54.47386638975424,48.42544517518558,
URI,"United Rentals, Inc.",買い,買い,中立,51.88225181922783,-30.870000000000005,-9.567674999999667,-4.427276046307583,62.24914371663767,57.56186085293181,
FLY,"Firefly Aerospace, Inc.",強い売り,強い売り,売り,44.041643620736906,-6.350000000000001,-2.939503749999986,-94.94709400545176,17.829219889096336,15.181711259660629,
RCEL,AVITA Medical Inc,売り,売り,中立,51.229575912135694,-0.5700000000000003,0.2256900000000095,8.077078673629133,31.11755119787246,36.19282851079234,
OTLY,Oatly Group AB Sponsored ADR,売り,売り,売り,49.281025595123126,-0.5200000000000014,-0.3973994117647699,15.985094909901527,38.67791842475385,25.93490805368245,
SKWD,"Skyward Specialty Insurance Group, Inc.",中立,売り,買い,49.30338478746653,0.5200000000000031,-2.9549926470588446,-48.57520631012779,33.010799564756546,22.12443468441563,
HHH,Howard Hughes Holdings Inc.,強い買い,強い買い,中立,59.24041380057059,4.079999999999998,1.128984117647036,201.3345519205715,82.78333944030811,62.89080606924322,陽のコマ
AUR,"Aurora Innovation, Inc. Class A",買い,買い,中立,52.8743011221171,0.09999999999999964,-0.15591205882353165,8.925892589259258,47.36842105263159,33.00848688244215,
KN,Knowles Corp.,買い,強い買い,中立,68.25844486542944,2.6799999999999997,2.197521764705858,221.7959760719859,88.22085683104244,75.27317491283922,
BCPC,Balchem Corp,強い買い,強い買い,買い,67.96623643283175,8.490000000000009,10.065072058823091,95.0357132213734,73.85634696535108,75.32233123846477,
EGP,"EastGroup Properties, Inc.",強い買い,強い買い,買い,68.76707142653484,13.590000000000003,5.131585294117571,158.8097635575249,92.73815302882933,86.39482301740861,
RUSHA,"Rush Enterprises, Inc. Class A",買い,強い買い,中立,76.39639316519505,8.840000000000003,10.049586470588125,120.53421448757341,83.29478006706475,89.03495745276781,同時線
NHI,"National Health Investors, Inc.",強い買い,強い買い,中立,70.44994477954556,6.989999999999995,4.712722911764857,212.6873311258863,90.30331485964662,88.28809819887822,
7550,ゼンショーホールディングス,強い買い,強い買い,買い,70.0792038236619,1009,120.95588235294053,241.43939602005685,96.2636135009792,90.22840848640539,
8591,オリックス,強い買い,強い買い,買い,81.19311210124214,775,267.52352941176196,330.6446284352143,93.66407135324211,91.7147986061696,
4578,大塚ホールディングス,強い買い,強い買い,買い,68.01378435176925,713,384.62352941176323,211.42645282431957,77.38626929079807,76.92902955672146,
8515,アイフル,買い,強い買い,売り,52.08644811301711,0,-8.585294117651529,-17.82395674945139,51.16801437556154,41.79775784854271,陰のコマ
6504,富士電機,強い買い,強い買い,中立,53.688737347930584,135,-845.1617647058829,5.199711000745587,60.488142530396054,39.90398791090791,
7013,ＩＨＩ,強い買い,強い買い,中立,81.07420419776184,939,631.294117647059,321.90867274666374,93.99831262463569,92.02558790614165,陽のコマ
7282,豊田合成,買い,強い買い,買い,83.16973773989622,943,699.0794117647065,173.16811235026816,96.14580208020804,96.99488561681966,首吊り線
5844,京都フィナンシャルグループ,買い,強い買い,中立,73.13043210935174,232,245.58529411764675,189.49289217166594,87.48544206249126,84.2636417954677,
9715,トランス・コスモス,買い,強い買い,買い,60.39795352964244,120,117.89705882352928,73.20295983087448,67.42424242424242,69.44444444444446,
4452,花王,買い,強い買い,中立,69.0825721124729,365,186.80000000000018,180.23561586199517,89.88211367623205,93.65459364285313,同時線
3462,野村不動産マスターファンド投資法人,中立,売り,中立,47.13590483037903,1600,-1805.5882352941262,-56.83060109289219,36.8898606693927,36.516924715141776,カラカサ
RCL,Royal Caribbean Group,買い,強い買い,中立,66.95672630039607,56.72000000000003,37.6175147058824,110.33130631387358,93.19630238036196,86.92090568467029,上影線
LHX,L3Harris Technologies Inc,中立,買い,売り,55.37712350297182,-15.460000000000036,14.87211617647057,-29.70257582756601,37.740367863070716,32.844524170222876,包み線 (弱気)
BILL,"BILL Holdings, Inc.",買い,強い買い,中立,56.31137121786125,3.549999999999997,-5.5443441176471,96.02794496461952,86.7002121256968,58.28628682318486,陽のコマ
ALV,Autoliv Inc.,買い,強い買い,中立,52.97528717622559,-2.319999999999993,1.1445970588235355,-0.14141021335283227,59.93527508090616,58.27510487834115,
FCX,"Freeport-McMoRan, Inc.",買い,強い買い,売り,59.41359894277597,0.39000000000000057,3.8198426470588913,68.39089304196177,38.20993160868275,29.720445446091958,下影線
ZBRA,Zebra Technologies Corporation Class A,買い,買い,買い,56.35220892658244,18.00999999999999,0.863513235293766,94.29435932518474,93.8373077987355,76.2646908202538,
CCK,"Crown Holdings, Inc.",買い,強い買い,買い,62.28528901511144,7.769999999999996,7.015064705882253,89.64477711260693,69.99671970149286,78.25810708983944,
KNTK,Kinetik Holdings Inc. Class A,買い,強い買い,中立,67.59446081943094,2.289999999999999,3.0947350000000426,117.42043163100736,84.00651456434937,81.38758255450658,
ELS,"Equity LifeStyle Properties, Inc.",強い買い,強い買い,買い,67.20250723574243,3.3300000000000054,3.5079238235295165,142.83555892049418,72.83304246655034,78.47410935168445,
LPLA,LPL Financial Holdings Inc.,売り,強い売り,中立,45.14844283489573,-4.470000000000027,10.97782529411785,-40.63468986895732,61.35085394443089,65.37850841063468,
FERG,Ferguson Enterprises Inc.,強い買い,強い買い,買い,65.48934637775524,12.310000000000002,17.25208823529414,149.63173860575094,91.898585280256,85.38473142514744,
STLD,"Steel Dynamics, Inc.",買い,強い買い,中立,67.75066591153237,25.47,19.81427205882366,135.62309487034037,95.48439157784162,92.71229756511264,
AXS,Axis Capital Holdings Limited,中立,中立,買い,49.064364487593586,1.0699999999999932,1.252672058823265,-0.6305175484411011,49.821882752929376,65.98716049552918,
ETN,Eaton Corp. Plc,買い,強い買い,中立,69.92870975728474,36.28000000000003,30.824154411763914,150.34539014182965,92.72548339889136,82.6040201361438,
ALNY,"Alnylam Pharmaceuticals, Inc",売り,強い売り,買い,29.608650021865685,-31.769999999999982,-36.90857499999959,-158.79063453678882,4.396984383570744,8.917215221578152,同時線
NFLX,"Netflix, Inc.",売り,強い売り,買い,35.1377809665679,-3.3700000000000045,-6.15596176470595,-45.99285747501149,31.886290633886887,24.452687626407165,上影線
DAN,Dana Incorporated,買い,強い買い,中立,76.77213364149728,2.16,3.5960679411765,128.02958965745603,93.31610945414322,87.59143027493235,
PFSI,"PennyMac Financial Services, Inc.",売り,強い売り,中立,24.23696429275907,-55.010000000000005,-35.51934794117656,-84.96811593374434,9.341851333434077,10.229734920342564,
METC,"Ramaco Resources, Inc. Class A",強い売り,強い売り,売り,40.44784473118654,-6.27,-1.9915820588235,-136.1398204065357,7.401270367301836,9.161874943244614,
VERX,"Vertex, Inc. Class A",売り,強い売り,中立,26.827401393830172,-4.4499999999999975,-3.4212455882352586,-133.35077582505747,9.970674486803539,9.653262949195637,
STWD,"Starwood Property Trust, Inc.",中立,売り,買い,49.745721179832394,-0.07000000000000028,-0.07210294117651372,-20.168223995873138,52.43445692883913,58.09673392130822,
SMG,Scotts Miracle-Gro Company Class A,買い,強い買い,中立,66.96265317633888,3.789999999999999,3.9488685294117687,193.69150255913385,92.41245382136434,90.45728068698061,
VSAT,"ViaSat, Inc.",買い,強い買い,売り,55.6345129812264,-0.03999999999999915,0.9542255882352748,56.42171247395717,58.725263428424576,38.894180422777005,
5801,古河電気工業,強い買い,強い買い,買い,84.33633971325212,8600,4305.514705882353,266.4446140679574,92.23968565815323,86.27433429642487,
CMG,"Chipotle Mexican Grill, Inc.",売り,強い売り,売り,47.18437042303322,-1.2100000000000009,0.19625529411759857,-74.39311361002682,43.195652173913025,44.065217391304365,
TJX,TJX Companies Inc,中立,買い,中立,49.71311414305924,5.280000000000001,0.6520308823530172,28.829235080346574,81.41853611761029,81.7581194950897,
PSTG,"Pure Storage, Inc. Class A",買い,強い買い,中立,54.289980352187094,-0.480000000000004,-0.37999705882350554,97.07587347988114,75.15143194714857,50.262290436026056,
CSGP,"CoStar Group, Inc.",売り,強い売り,中立,26.023753616160107,-15.369999999999997,-11.326673529411671,-117.91318721922535,9.439453439777102,7.327117013715181,トンカチ
ZTS,"Zoetis, Inc. Class A",中立,買い,中立,58.83913766424663,3.1700000000000017,1.857545588235297,183.07268117098585,76.40714526457708,79.35095997492895,"上影線, 流れ星"
ADI,"Analog Devices, Inc.",強い買い,強い買い,買い,68.27983158618905,21.33000000000004,22.0993720588242,120.50186353740014,84.21511686769155,83.70209064732215,
ARWR,"Arrowhead Pharmaceuticals, Inc.",中立,売り,買い,43.04587969949201,-3.989999999999995,-1.754998235294181,-139.74124263848375,12.664155780604398,19.054461445759646,陽のコマ
XPO,"XPO, Inc.",買い,強い買い,売り,77.29596045749292,51.5,40.311372058823395,156.1586727598055,95.87936634775474,92.49902373886503,
WRBY,"Warby Parker, Inc. Class A",強い売り,強い売り,売り,39.229879908278356,-4.789999999999999,-1.1239120588235174,-214.04074496961613,17.744551055549163,20.82673826723954,
FLS,Flowserve Corporation,強い買い,強い買い,買い,79.94451946413673,8.990000000000009,6.976642058823643,233.93768288017336,89.18796743469305,83.34803551423563,
GL,Globe Life Inc.,買い,強い買い,買い,52.32381509300185,4.560000000000002,4.077671176470744,5.477868511555211,45.5369192211297,57.90523839304316,
6723,ルネサスエレクトロニクス,買い,強い買い,売り,69.14420252942888,592.5,425.57205882352946,183.66698442961547,92.30303030303027,92.6342813913435,
8411,みずほフィナンシャルグループ,強い買い,強い買い,買い,76.44869726142846,1236,888.8823529411757,235.71151321671323,97.24641339689735,91.3530811516764,
7532,パン・パシフィック・インターナショナルホールディングス,買い,強い買い,売り,61.337876124056045,47.19999999999993,24.62176470588213,144.3231718958875,83.80938071269371,77.65511433610233,
U,"Unity Software, Inc.",売り,強い売り,中立,35.142582085636676,-12.2,-14.465767647058787,-68.06288498589117,20.465116279069775,12.956445872200282,
RKLB,Rocket Lab Corporation,売り,売り,中立,45.00160761140953,-14.969999999999999,-8.491943529411799,-100.47292286727978,27.085617572633556,20.207668890282644,
PNFP,"Pinnacle Financial Partners, Inc.",買い,強い買い,売り,55.15831408468691,4.25,,58.77606478608357,56.166727783889534,58.61141669722531,
TECH,Bio-Techne Corporation,売り,売り,中立,47.99641940890334,-3.430000000000007,1.4148235294116915,-77.80363792848844,38.14301640388599,43.78085682433508,
6857,アドバンテスト,買い,強い買い,中立,66.10073442210856,2720,3201.5294117647063,145.73732920450007,66.10322995666306,55.16742280606717,
GSAT,"Globalstar, Inc.",売り,売り,売り,46.08672219845303,-4.659999999999997,-4.541324999999979,-79.03459545514136,31.398710251278658,22.275167572032178,同時線
MOG.A,Moog Inc. Class A,買い,強い買い,中立,75.56160404570365,35.43000000000001,43.596303235293874,91.10043508489125,77.42482742482738,77.90647790647785,下影線
ADTN,"ADTRAN Holdings, Inc.",強い買い,強い買い,買い,67.58623960481648,0.7699999999999996,0.574118823529421,206.6282902557374,81.47992358518671,64.44315918000127,上影線
SYF,Synchrony Financial,売り,強い売り,中立,40.29898771791888,0.9000000000000057,-5.2424852941176,-59.05151235819046,32.354540511147384,31.8866308590332,
CLMT,"Calumet, Inc.",買い,強い買い,売り,77.5152418913853,3.0400000000000027,3.7773529411764812,131.7420729307484,91.45689714378118,91.107648020461,包み線 (弱気)
LXU,"LSB Industries, Inc.",強い買い,強い買い,買い,58.69744568621592,0.45000000000000107,0.44148970588237546,109.40364767237627,73.67166813768756,58.698636853976645,
KROS,"Keros Therapeutics, Inc.",売り,強い売り,買い,36.95151441670754,-1.1500000000000021,-1.3641220588235328,-132.8705792132807,9.012270409329256,9.270172690093082,
PRIM,Primoris Services Corporation,買い,強い買い,中立,64.83418673903388,9.420000000000016,13.7000385294117,187.53224535655303,92.45171641462598,75.52305947920408,同時線
JBI,"Janus International Group, Inc.",買い,買い,買い,61.643441995491585,0.4900000000000002,0.1766588235294284,204.12579681509,87.6454056695992,74.79750983783244,
EFX,Equifax Inc.,売り,売り,中立,48.254192018922495,-5.319999999999993,-20.678013235294145,-35.699074611838995,65.53301094362774,55.14696457698634,
SFL,SFL Corporation Limited,買い,強い買い,中立,67.45249242037794,0.7700000000000014,0.7032779411764771,117.84543091791026,90.68482706037294,84.56746569530792,
APH,Amphenol Corporation Class A,買い,強い買い,売り,50.54577506876123,-22.110000000000014,-5.714115882352644,-28.677305319129566,37.50510245734344,23.803717830666624,
LXRX,"Lexicon Pharmaceuticals, Inc.",中立,買い,中立,49.53322102571721,-0.3999999999999999,-0.042399705882353755,-34.79013105382613,20.091324200913235,17.199391171993867,
AXTI,"AXT, Inc.",買い,強い買い,中立,59.58792429201849,7.150000000000002,3.112682352941178,126.82057209328407,87.1219803637781,74.3633582968386,
BMRC,Bank of Marin Bancorp,強い買い,強い買い,買い,55.23162237461203,0.870000000000001,0.7274308823529871,119.26180659185042,67.703088944829,61.07602314294193,上影線
FRME,First Merchants Corporation,買い,強い買い,売り,66.07121035133608,3.6000000000000014,2.9775102941176144,104.91825115499259,90.37290798692324,92.41433000037472,同時線
RZLT,"Rezolute, Inc.",売り,強い売り,中立,45.46589472401252,-0.43000000000000016,0.2801750000000056,6.521359966655622,38.45996732026146,35.500923269036626,
